Rank	Name	basename	Genre	ESRB_Rating	Platform	Publisher	Developer	VGChartz_Score	Critic_Score	User_Score	Total_Shipped	Global_Sales	NA_Sales	PAL_Sales	JP_Sales	Other_Sales	Year	Last_Update	url	status	Vgchartzscore	img_url
10047	Pixel Puzzles 2: Anime	pixel-puzzles-2-anime	Puzzle		PC	DL Softworks	DL Softworks				0.16						2015.0	03rd Apr 19	http://www.vgchartz.com/game/223898/pixel-puzzles-2-anime/?region=All	1		/games/boxart/full_9446699AmericaFrontccc.jpg
10052	Mother Russia Bleeds	mother-russia-bleeds	Misc		PC	Bandai Visual	Unknown				0.16						2016.0		http://www.vgchartz.com/game/81888/mother-russia-bleeds/?region=All	1		/games/boxart/full_326462AmericaFrontccc.jpg
10077	Yooka-Laylee	yooka-laylee	Platform	E10	PC	Team17 Software	Playtonic Games				0.16						2018.0	31st May 18	http://www.vgchartz.com/game/85441/yooka-laylee/?region=All	1		/games/boxart/full_2749136AmericaFrontccc.jpg
10079	AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome	aaaaaaaaaaaaaaaaaaaaaaaaa-for-the-awesome	Action		PC	Unknown	Dejobaan Games				0.16						2014.0	19th Mar 19	http://www.vgchartz.com/game/223903/aaaaaaaaaaaaaaaaaaaaaaaaa-for-the-awesome/?region=All	1		/games/boxart/full_5906007AmericaFrontccc.jpg
10080	Metal Slug	metal-slug	Action		PC	Unknown	DotEmu				0.16						2014.0	19th Mar 19	http://www.vgchartz.com/game/223902/metal-slug/?region=All	1		/games/boxart/full_9601190AmericaFrontccc.jpg
10102	Melody's Escape	melodys-escape	Misc		PC	Unknown	Unknown				0.16						2014.0		http://www.vgchartz.com/game/79270/melodys-escape/?region=All	1		/games/boxart/full_6809001AmericaFrontccc.jpg
10124	Destiny 2	destiny-2	Shooter	T	PC	Activision	Bungie					0.16	0.09	0.05		0.01	2017.0	20th Apr 18	http://www.vgchartz.com/game/166064/destiny-2/?region=All	1		/games/boxart/full_6098868AmericaFrontccc.jpg
10125	Batman: Arkham Origins Blackgate	batman-arkham-origins-blackgate	Action-Adventure	T	PC	Warner Bros. Interactive Entertainment	Armature Studio				0.16						2014.0	10th Dec 18	http://www.vgchartz.com/game/80654/batman-arkham-origins-blackgate/?region=All	1		/games/boxart/full_6399847AmericaFrontccc.jpg
10143	Holy Potatoes! A Weapon Shop?!	holy-potatoes-a-weapon-shop	Simulation		PC	Daedalic Entertainment	Daylight Studios				0.15						2015.0	05th Jul 18	http://www.vgchartz.com/game/220248/holy-potatoes-a-weapon-shop/?region=All	1		/games/boxart/full_1650643AmericaFrontccc.jpg
10159	The Banner Saga 2	the-banner-saga-2	Role-Playing		PC	Versus Evil	Stoic Studio				0.15						2016.0		http://www.vgchartz.com/game/84959/the-banner-saga-2/?region=All	1		/games/boxart/full_9526825AmericaFrontccc.jpg
10174	28 Waves Later	28-waves-later	Action-Adventure		PC	Unknown	Dagestan Technology				0.15						2018.0	21st Mar 19	http://www.vgchartz.com/game/223953/28-waves-later/?region=All	1		/games/boxart/full_2518481AmericaFrontccc.jpg
10189	Masked Shooters 2	masked-shooters-2	Shooter		PC	Unknown	FreezeNova				0.15						2012.0	21st Mar 19	http://www.vgchartz.com/game/223963/masked-shooters-2/?region=All	1		/games/boxart/full_3612988AmericaFrontccc.jpg
10220	Space Pilgrim Episode II: Epsilon Indi	space-pilgrim-episode-ii-epsilon-indi	Adventure		PC	GrabTheGames	Pilgrim Adventures				0.15						2016.0	22nd Mar 19	http://www.vgchartz.com/game/223968/space-pilgrim-episode-ii-epsilon-indi/?region=All	1		/games/boxart/full_949971AmericaFrontccc.jpg
10230	Broken Sword 5: The Serpent's Curse	broken-sword-5-the-serpents-curse	Adventure	M	PC	Revolution Software	Revolution Software				0.15						2014.0	13th Aug 18	http://www.vgchartz.com/game/222628/broken-sword-5-the-serpents-curse/?region=All	1		/games/boxart/full_4027586PALFrontccc.jpg
10257	Bus Simulator 16	bus-simulator-16	Simulation		PC	Astragon	stillalive studios				0.15						2017.0		http://www.vgchartz.com/game/95064/bus-simulator-16/?region=All	1		/games/boxart/full_5567593AmericaFrontccc.jpg
10263	Running Sausage	running-sausage	Platform		PC	Unknown	Unknown				0.15						2012.0	23rd Mar 19	http://www.vgchartz.com/game/224021/running-sausage/?region=All	1		/games/boxart/full_9814999AmericaFrontccc.jpg
10270	The Fall	the-fall	Misc		PC	Over The Moon	Unknown				0.15						2014.0		http://www.vgchartz.com/game/82744/the-fall/?region=All	1		/games/boxart/full_9914174AmericaFrontccc.jpg
10303	Before the Echo	before-the-echo	Music		PC	Unknown	Iridium Studios				0.15						2011.0	24th Mar 19	http://www.vgchartz.com/game/224060/before-the-echo/?region=All	1		/games/boxart/full_5533471AmericaFrontccc.jpg
10317	Vessel	vessel	Misc		PC	indiePub	Unknown				0.15						2012.0		http://www.vgchartz.com/game/79409/vessel/?region=All	1		/games/boxart/full_3768365AmericaFrontccc.jpg
10333	UltraGoodness	ultragoodness	Action		PC	Unknown	Rasul Mono				0.15						2013.0	24th Mar 19	http://www.vgchartz.com/game/224062/ultragoodness/?region=All	1		/games/boxart/full_4927016AmericaFrontccc.jpg
10334	Chip	chip	Misc		PC	Kiss	Unknown				0.15						2014.0		http://www.vgchartz.com/game/81714/chip/?region=All	1		/games/boxart/full_5339244AmericaFrontccc.jpg
10335	The Crew	the-crew	Racing	T	PC	Ubisoft	Ubisoft Reflections					0.15		0.14		0.01	2014.0	04th Jan 18	http://www.vgchartz.com/game/73089/the-crew/?region=All	1		/games/boxart/full_4831996AmericaFrontccc.jpg
10344	Symphony	symphony	Music		PC	Unknown	Empty Clip Studios				0.15						2015.0	24th Mar 19	http://www.vgchartz.com/game/224065/symphony/?region=All	1		/games/boxart/full_123821AmericaFrontccc.jpg
10348	The Sims Medieval: Pirates and Nobles	the-sims-medieval-pirates-and-nobles	Simulation	T	PC	Electronic Arts	The Sims Studio		5.5			0.15	0.05	0.08		0.01	2011.0		http://www.vgchartz.com/game/58359/the-sims-medieval-pirates-and-nobles/?region=All	1		/games/boxart/full_the-sims-medieval-pirates-and-nobles_963AmericaFront.jpg
10355	The Sims 3: Seasons	the-sims-3-seasons	Simulation	T	PC	Electronic Arts	Maxis					0.15		0.14		0.01	2012.0	06th Nov 18	http://www.vgchartz.com/game/71140/the-sims-3-seasons/?region=All	1		/games/boxart/full_8044801AmericaFrontccc.jpg
